Date,APPLE Adj Close, Return (%)
17/10/2007,172.75,1.869324213
18/10/2007,173.5,0.434153401
19/10/2007,170.42,-1.775216138
22/10/2007,174.36,2.311935219
23/10/2007,186.16,6.767607249
24/10/2007,185.93,-0.123549635
25/10/2007,182.78,-1.694185984
26/10/2007,184.7,1.050443156
29/10/2007,185.09,0.211153221
30/10/2007,187,1.031930412
31/10/2007,189.95,1.577540107
1/11/2007,187.44,-1.321400369
2/11/2007,187.87,0.229406743
5/11/2007,186.18,-0.899558205
6/11/2007,191.79,3.01321302
7/11/2007,186.3,-2.862505866
8/11/2007,175.47,-5.813204509
9/11/2007,165.37,-5.755969681
12/11/2007,153.76,-7.020620427
13/11/2007,169.96,10.5359001
14/11/2007,166.11,-2.26523888
15/11/2007,164.3,-1.089639396
16/11/2007,166.39,1.272063299
19/11/2007,163.95,-1.466434281
20/11/2007,168.85,2.988716072
21/11/2007,168.46,-0.230974237
23/11/2007,171.54,1.828327199
26/11/2007,172.54,0.582954413
27/11/2007,174.81,1.315636954
28/11/2007,180.22,3.094788628
29/11/2007,184.29,2.258350904
30/11/2007,182.22,-1.123229692
3/12/2007,178.86,-1.843924926
4/12/2007,179.81,0.531141675
5/12/2007,185.5,3.164451365
6/12/2007,189.95,2.398921833
7/12/2007,194.3,2.290076336
10/12/2007,194.21,-0.046320124
11/12/2007,188.54,-2.919520107
12/12/2007,190.86,1.230508115
13/12/2007,191.83,0.508225925
14/12/2007,190.39,-0.750664651
17/12/2007,184.4,-3.146173644
18/12/2007,182.98,-0.770065076
19/12/2007,183.12,0.076511094
20/12/2007,187.21,2.233508082
21/12/2007,193.91,3.57886865
24/12/2007,198.8,2.521788459
26/12/2007,198.95,0.075452716
27/12/2007,198.57,-0.191002765
28/12/2007,199.83,0.634536939
31/12/2007,198.08,-0.875744383
2/1/2008,194.84,-1.635702746
3/1/2008,194.93,0.046191747
4/1/2008,180.05,-7.633509465
7/1/2008,177.64,-1.338517079
8/1/2008,171.25,-3.597162801
9/1/2008,179.4,4.759124088
10/1/2008,178.02,-0.769230769
11/1/2008,172.69,-2.994045613
14/1/2008,178.78,3.526550466
15/1/2008,169.04,-5.448036693
16/1/2008,159.64,-5.560814009
17/1/2008,160.89,0.783011776
18/1/2008,161.36,0.292125054
22/1/2008,155.64,-3.544868617
23/1/2008,139.07,-10.6463634
24/1/2008,135.6,-2.495146329
25/1/2008,130.01,-4.122418879
28/1/2008,130.01,0
29/1/2008,131.54,1.176832551
30/1/2008,132.18,0.486544017
31/1/2008,135.36,2.405810259
1/2/2008,133.75,-1.189420804
