172.79,171.56
177.80,177.32
183.22,183.74
187.85,189.66
190.95,194.19
192.62,197.27
193.94,199.87
195.55,202.55
196.89,204.63
198.14,206.32
200.38,208.79
203.62,212.16
208.03,216.64
213.03,221.67
217.40,226.02
221.37,230.03
225.28,234.04
228.94,237.84
231.46,240.50
232.71,241.89
233.56,242.91
234.54,244.07
236.12,245.76
238.39,248.03
240.86,250.41
242.90,252.25
244.26,253.37
244.59,253.42
243.87,252.39
242.39,250.63
240.66,248.62
238.98,246.65
237.22,244.54
235.94,242.84
236.15,242.57
238.12,243.91
240.46,245.42
240.94,244.86
239.94,242.53
238.27,239.22
235.13,234.18
231.12,228.10
226.73,221.53
221.46,214.05
215.49,205.85
209.66,197.74
204.07,189.85
198.71,182.18
194.51,175.62
191.38,170.15
188.61,165.11
186.47,160.73
183.93,156.15
180.69,151.19
177.85,146.80
175.08,142.78
171.62,138.48
167.59,133.92
164.44,130.20
162.60,127.64
161.26,125.57
160.74,124.29
162.09,124.62
164.53,125.99
166.23,127.02
167.27,127.73
167.99,128.36
168.76,129.16
169.37,129.85
168.96,129.70
168.04,129.11
168.39,129.50
169.58,130.56
170.19,131.24
170.37,131.63
169.90,131.50
169.35,131.28
168.46,130.77
167.04,129.79
165.75,128.84
164.52,127.91
163.28,126.96
162.07,125.97
161.27,125.21
161.28,125.03
161.46,124.98
161.16,124.61
160.77,124.22
160.01,123.60
158.98,122.83
158.01,122.18
157.09,121.61
156.46,121.26
155.48,120.66
154.30,119.92
154.12,119.94
155.72,121.34
157.97,123.24
159.91,124.89
161.70,126.44
163.03,127.68
164.46,129.07
166.44,130.94
168.45,132.89
169.46,134.11
170.11,135.09
171.92,137.08
175.14,140.30
179.50,144.58
184.13,149.21
188.21,153.52
192.04,157.67
195.17,161.25
197.06,163.76
198.44,165.71
199.08,166.91
199.08,167.49
199.59,168.42
200.89,169.96
202.98,172.14
205.39,174.56
207.47,176.66
209.03,178.27
210.36,179.59
211.72,180.84
212.32,181.35
212.21,181.23
212.19,181.19
212.29,181.26
212.61,181.60
213.27,182.28
215.01,183.97
218.15,186.94
